,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13
airborne,0.39405062900823506,0.396695744324597,0.40734072704736085,0.7454350363713047,0.7754901292064911,0.8924551829364954,0.9191280202025913,0.9745437814390107,0.9995383071542618,0.9999554674870077,0.9999589882601365,0.9999997783189992,1.0000000000000002
aquatic,0.3862116894870534,0.5441443818913687,0.5756469367556433,0.6949269539975527,0.729955417263041,0.9718902259802494,0.9807856378893791,0.9813060699833249,0.9813116876800424,0.9993100126454552,0.9993417573369967,0.9995861016030977,1.0000000000000018
predator,0.026819311939440302,0.313931564211862,0.77237701223162,0.7909520525282526,0.8317464837008486,0.8320196665514141,0.8973299811966157,0.9473169429873584,0.9892538816554947,0.9967759888625125,0.9989109318030692,0.9999776064889181,1.0000000000000004
toothed,0.16684822608795002,0.7388187525095803,0.7388216086280279,0.8685821433970324,0.9004895721743431,0.9062519166081152,0.9270032713634271,0.9270205154317684,0.9547249588792753,0.99420051035421,0.9966540280668905,0.9996906270021235,0.9999999999999993
backbone,0.7684366930813381,0.8722943769579545,0.9105921739920452,0.9120351383324865,0.9357779407794411,0.9406696360872321,0.9783000475422955,0.9812504756662795,0.9822361528800402,0.9822965706728805,0.9932629074406953,0.9963832413560614,1.000000000000001
breathes,0.2520578539668939,0.8849962024785658,0.8971207102516943,0.8989291061706255,0.9083964368868203,0.9118262993900138,0.9126473137476045,0.9349576094676225,0.9530295937001366,0.9613608340934904,0.9877498215977073,0.999672039164222,0.999999999999998
venomous,0.004204416729530331,0.02631636868065519,0.6448946682651701,0.674721526933818,0.8285256571629175,0.860022934342775,0.9833581918986617,0.9844456835485874,0.9984113168825297,0.9999504812028664,0.9999753327590242,0.9999910840120488,0.999999999999999
fins,0.36417636499433126,0.7266944384641418,0.7266949973602086,0.8269146340563969,0.8436838198267191,0.8486859321643232,0.8976043934329988,0.9727204878588059,0.9729111142296912,0.9774680876243962,0.9945501508907972,0.999524558763322,1.0
legs,0.4755531400423104,0.6791777842857021,0.7105207606972161,0.7367328218530599,0.7691374003331969,0.8278008138646404,0.8289934000084118,0.9305267482200695,0.9912282890129555,0.9941643802062619,0.9997598185863295,0.9997931332014558,0.9999999999999996
tail,0.7675237369673237,0.8393993770520072,0.8409248177013757,0.9217369219756895,0.924328736495704,0.9333262908586477,0.9388284023276247,0.9389318681404518,0.9389329873143089,0.9553644655090487,0.9802858151268857,0.9998818093316647,1.0000000000000002
domestic,0.04319096788978655,0.24429522426649533,0.4847060688559828,0.5227695176523868,0.9213685691949544,0.9545570038035225,0.9634676959415798,0.9779141458112479,0.9964188689503003,0.9965638516144595,0.9998657041299271,0.9999743639617595,0.9999999999999997
catsize,0.5472483419575567,0.5630617406024221,0.7253689732849049,0.7515902314187493,0.7641236390239354,0.7829451163528901,0.9167558327018897,0.9442208992062965,0.9742223398951882,0.9968889972854117,0.9976093440637682,0.9999506499883936,0.999999999999999
class_type,0.602229849185445,0.8471529290818938,0.8519397396709109,0.9297177558702049,0.9401969171279929,0.943565087387514,0.9477886375849368,0.9540143616779764,0.9749067833178567,0.9754014879611836,0.9765138048725402,0.9981644593775567,0.9999999999999999
